,model_name,prompt,col_list,alpha_ord,rows_with_nan,alpha_nom,avg_time_hr
0,qwen2.5-vl-7b-instruct,1a,"['shot_scale_vlm_1a_01', 'shot_scale_vlm_1a_02', 'shot_scale_vlm_1a_03']",0.9568605368754268,114,0.8831052673052663,3.2663383682407408
1,qwen2-vl-7b-instruct,1a,"['shot_scale_vlm_1a_06', 'shot_scale_vlm_1a_07', 'shot_scale_vlm_1a_08']",0.891731239114783,64,0.7635506978474981,4.653091902037037
2,qwen2.5-vl-7b-instruct,1b,"['shot_scale_vlm_1b_01', 'shot_scale_vlm_1b_02', 'shot_scale_vlm_1b_03']",0.9701085364251324,12,0.9408728039961932,3.3422222222222224
3,qwen2-vl-7b-instruct,1b,"['shot_scale_vlm_1b_06', 'shot_scale_vlm_1b_07', 'shot_scale_vlm_1b_08']",0.9300240453062364,7,0.8361717334150138,4.685358841296296
4,qwen2.5-vl-7b-instruct,1c,"['shot_scale_vlm_1c_01', 'shot_scale_vlm_1c_02', 'shot_scale_vlm_1c_03']",0.953186662578309,161,0.8891191794116321,3.513415934074074
5,qwen2-vl-7b-instruct,1c,"['shot_scale_vlm_1c_06', 'shot_scale_vlm_1c_07', 'shot_scale_vlm_1c_08']",0.8720069580799577,56,0.7434955919640318,4.9600746951851855
